"rule_id","cardId","targetId","conditions","effects","messages"
"panel_empollon_mirar_bien","mirar_bien","panel","always","panelState=understood; panelHintKnown=true","El Empollón interpreta protocolo 7-B"
"panel_empollon_consultar_apuntes","consultar_apuntes","panel","always","panelState=understood; panelHintKnown=true","Apuntes revelan redundancia física"
"panel_manitas_puenteo_rapido","puenteo_rapido","panel","always; if panelState was not understood => alarm on","panelState=tampered; maybe alarmState=on","Bypass temporal / alerta secundaria"
"locker_manitas_apanar","apañar","locker","always","lockerPrepared=true","Afloja la cerradura"
"locker_bruto_a_lo_bestia","a_lo_bestia","locker","if lockerPrepared","lockerState=clean_open; noteState=complete","Taquilla abierta sin destrozar"
"locker_bruto_a_lo_bestia","a_lo_bestia","locker","else","lockerState=broken_open; noteState=partial","Taquilla reventada / nota rota"
"locker_mistica_y_si","y_si","locker","always","lockerState=clean_open; noteState=complete","Golpecitos absurdos funcionan"
"sensor_mistica_vibra_raro","esto_vibra_raro","sensor","always","sensorPatternDetected=true","Detecta patrón extraño"
"sensor_mistica_y_si","y_si","sensor","if sensorPatternDetected","sensorState=fooled; sensorTrickedThisPulse=true","Sensor engañado"
"sensor_mistica_y_si","y_si","sensor","else","no state change","La prueba no funciona"
"sensor_manitas_desmontar","desmontar","sensor","always","sensorState=disabled","Sensor inutilizado"
"door_empollon_mirar_bien","mirar_bien","door","always","doorPrepared=true","Detecta cómo empujar sin forzar"
"door_bruto_empujar","empujar","door","if panel understood/tampered and sensor fooled/disabled and doorPrepared","doorState=clean_open","Puerta abierta limpiamente"
"door_bruto_empujar","empujar","door","else if sensor fooled/disabled","doorState=forced_open","Apertura brusca"
"door_bruto_empujar","empujar","door","else","doorState=forced_open; alarmState=on","Puerta forzada y alarma"
"door_bruto_a_lo_bestia","a_lo_bestia","door","always; if panel or sensor active => alarm on","doorState=forced_open; maybe alarmState=on","Salida reventada / alarma"
