"text_id","source_file","line","usage","current_text","notes"
"src_components_ActionQueueOverlay_jsx.52.template.1","src/components/ActionQueueOverlay.jsx","52","template","player-resonance-counter ${...}",""
"src_components_ActionQueueOverlay_jsx.52.jsx_attribute.2","src/components/ActionQueueOverlay.jsx","52","jsx_attribute","Resonancia acumulada",""
"src_components_ActionQueueOverlay_jsx.53.jsx_text.3","src/components/ActionQueueOverlay.jsx","53","jsx_text","Resonancia",""
"src_components_ActionQueueOverlay_jsx.62.jsx_attribute.4","src/components/ActionQueueOverlay.jsx","62","jsx_attribute","Cola de acciones",""
"src_components_ActionQueueOverlay_jsx.80.template.5","src/components/ActionQueueOverlay.jsx","80","template","${...}. Carga ${...}",""
"src_components_ActionQueuePanel_jsx.26.jsx_text.6","src/components/ActionQueuePanel.jsx","26","jsx_text","Pulso:",""
"src_components_DeviceConsole_jsx.4.ArrayExpression.7","src/components/DeviceConsole.jsx","4","ArrayExpression","Inicializando enlace local...",""
"src_components_DeviceConsole_jsx.5.ArrayExpression.8","src/components/DeviceConsole.jsx","5","ArrayExpression","Buscando dispositivo en la red del instituto...",""
"src_components_DeviceConsole_jsx.6.ArrayExpression.9","src/components/DeviceConsole.jsx","6","ArrayExpression","Interferencia detectada en el canal.",""
"src_components_DeviceConsole_jsx.7.ArrayExpression.10","src/components/DeviceConsole.jsx","7","ArrayExpression","Canal de mantenimiento disponible.",""
"src_components_DeviceConsole_jsx.8.ArrayExpression.11","src/components/DeviceConsole.jsx","8","ArrayExpression","Conexion establecida.",""
"src_components_DeviceConsole_jsx.14.ArrayExpression.12","src/components/DeviceConsole.jsx","14","ArrayExpression","  clear    - Limpia la consola.",""
"src_components_DeviceConsole_jsx.21.AssignmentPattern.13","src/components/DeviceConsole.jsx","21","AssignmentPattern","Dispositivo desconocido",""
"src_components_DeviceConsole_jsx.39.template.14","src/components/DeviceConsole.jsx","39","template","Sesion abierta con ${...}.",""
"src_components_DeviceConsole_jsx.40.text.15","src/components/DeviceConsole.jsx","40","text","Escribe /help o /? para ver los comandos disponibles.",""
"src_components_DeviceConsole_jsx.74.ArrayExpression.16","src/components/DeviceConsole.jsx","74","ArrayExpression","Cerrando conexion...",""
"src_components_DeviceConsole_jsx.74.ArrayExpression.17","src/components/DeviceConsole.jsx","74","ArrayExpression","Sesion terminada.",""
"src_components_DeviceConsole_jsx.96.ArrayExpression.18","src/components/DeviceConsole.jsx","96","ArrayExpression","Comandos disponibles:",""
"src_components_DeviceConsole_jsx.101.ArrayExpression.19","src/components/DeviceConsole.jsx","101","ArrayExpression","Comandos de sistema:",""
"src_components_DeviceConsole_jsx.118.template.20","src/components/DeviceConsole.jsx","118","template","Comando bloqueado: ""${...}""",""
"src_components_DeviceConsole_jsx.119.ArrayExpression.21","src/components/DeviceConsole.jsx","119","ArrayExpression","Solo se aceptan comandos autorizados. Usa /help o /?",""
"src_components_DeviceConsole_jsx.125.template.22","src/components/DeviceConsole.jsx","125","template","Uso: ${...} <${...}>",""
"src_components_DeviceConsole_jsx.125.ArrayExpression.23","src/components/DeviceConsole.jsx","125","ArrayExpression","Argumento requerido.",""
"src_components_DeviceConsole_jsx.133.ArrayExpression.24","src/components/DeviceConsole.jsx","133","ArrayExpression","Procesando...",""
"src_components_DeviceConsole_jsx.133.ArrayExpression.25","src/components/DeviceConsole.jsx","133","ArrayExpression","Esperando respuesta del sistema central...",""
"src_components_DeviceConsole_jsx.145.jsx_text.26","src/components/DeviceConsole.jsx","145","jsx_text","Conexion de dispositivo",""
"src_components_DeviceConsole_jsx.150.conditional.27","src/components/DeviceConsole.jsx","150","conditional","ENLACE ACTIVO",""
"src_components_DeviceConsole_jsx.150.conditional.28","src/components/DeviceConsole.jsx","150","conditional","CONECTANDO",""
"src_components_DeviceConsole_jsx.153.jsx_attribute.29","src/components/DeviceConsole.jsx","153","jsx_attribute","Cerrar consola",""
"src_components_DeviceConsole_jsx.199.conditional.30","src/components/DeviceConsole.jsx","199","conditional","escribe un comando...",""
"src_components_DeviceConsole_jsx.199.conditional.31","src/components/DeviceConsole.jsx","199","conditional","estableciendo conexion...",""
"src_components_DeviceConsole_jsx.202.jsx_attribute.32","src/components/DeviceConsole.jsx","202","jsx_attribute","Entrada de comando",""
"src_components_DeviceConsole_jsx.204.jsx_attribute.33","src/components/DeviceConsole.jsx","204","jsx_attribute","Enviar comando",""
"src_components_DeviceConsole_jsx.204.jsx_text.34","src/components/DeviceConsole.jsx","204","jsx_text","Enter",""
"src_components_DeviceConsole_jsx.212.jsx_text.35","src/components/DeviceConsole.jsx","212","jsx_text","Enlace",""
"src_components_DeviceConsole_jsx.216.jsx_attribute.36","src/components/DeviceConsole.jsx","216","jsx_attribute","Senal",""
"src_components_DeviceConsole_jsx.217.jsx_attribute.37","src/components/DeviceConsole.jsx","217","jsx_attribute","Ruido",""
"src_components_DeviceConsole_jsx.218.jsx_attribute.38","src/components/DeviceConsole.jsx","218","jsx_attribute","Control",""
"src_components_DeviceConsole_jsx.222.jsx_text.39","src/components/DeviceConsole.jsx","222","jsx_text","Notas",""
"src_components_DeviceConsole_jsx.223.jsx_text.40","src/components/DeviceConsole.jsx","223","jsx_text","La conexion muestra datos parciales. Comparadlos antes de confiar en ellos.",""
"src_components_e2_E2Logo_jsx.3.template.41","src/components/e2/E2Logo.jsx","3","template","e2-logo ${...}",""
"src_components_e2_E2Logo_jsx.4.jsx_text.42","src/components/e2/E2Logo.jsx","4","jsx_text","EL EXAMEN",""
"src_components_e2_NBadge_jsx.3.template.43","src/components/e2/NBadge.jsx","3","template","n-badge n-badge-${...}",""
"src_components_e2_NButton_jsx.3.template.44","src/components/e2/NButton.jsx","3","template","n-btn n-btn-${...} n-btn-${...} ${...}",""
"src_components_e2_NCard_jsx.5.template.45","src/components/e2/NCard.jsx","5","template","n-card ${...} ${...}",""
"src_components_e2_NProgress_jsx.13.template.46","src/components/e2/NProgress.jsx","13","template","n-progress-fill n-progress-${...}",""
